iter	Passed	Remaining
0	62	31055
1	127	31714
2	192	31874
3	256	31845
4	327	32435
5	393	32437
6	461	32488
7	530	32626
8	599	32692
9	672	32940
10	741	32967
11	808	32894
12	879	32950
13	950	32986
14	1024	33135
15	1106	33458
16	1201	34148
17	1281	34315
18	1364	34549
19	1439	34555
20	1516	34582
21	1595	34666
22	1668	34610
23	1754	34795
24	1830	34770
25	1910	34827
26	2016	35325
27	2095	35321
28	2181	35436
29	2271	35583
30	2364	35778
31	2457	35947
32	2541	35964
33	2621	35932
34	2702	35904
35	2784	35885
36	2868	35895
37	2964	36046
38	3054	36108
39	3131	36013
40	3203	35865
41	3273	35701
42	3350	35607
43	3431	35562
44	3507	35468
45	3584	35379
46	3661	35286
47	3734	35169
48	3806	35036
49	3879	34911
50	3948	34764
51	4017	34612
52	4095	34544
53	4169	34433
54	4250	34390
55	4324	34285
56	4395	34159
57	4470	34065
58	4542	33951
59	4610	33811
60	4683	33702
61	4760	33627
62	4834	33535
63	4905	33416
64	4978	33316
65	5053	33228
66	5125	33124
67	5197	33018
68	5271	32926
69	5346	32844
70	5416	32725
71	5485	32607
72	5578	32629
73	5657	32567
74	5726	32449
75	5814	32441
76	5889	32353
77	5973	32318
78	6059	32291
79	6147	32275
80	6225	32204
81	6300	32117
82	6372	32018
83	6447	31929
84	6524	31855
85	6596	31757
86	6669	31659
87	6742	31566
88	6813	31464
89	6884	31364
90	6964	31303
91	7038	31215
92	7114	31136
93	7191	31061
94	7267	30983
95	7342	30898
96	7419	30825
97	7499	30763
98	7578	30698
99	7651	30607
100	7726	30524
101	7798	30427
102	7872	30342
103	7946	30256
104	8022	30179
105	8094	30086
106	8168	30000
107	8238	29903
108	8310	29810
109	8381	29714
110	8455	29632
111	8526	29539
112	8598	29448
113	8672	29365
114	8747	29285
115	8822	29205
116	8895	29119
117	8976	29058
118	9050	28975
119	9123	28890
120	9192	28791
121	9267	28713
122	9341	28632
123	9415	28551
124	9492	28477
125	9564	28389
126	9637	28304
127	9711	28224
128	9784	28140
129	9854	28046
130	9927	27962
131	10001	27883
132	10077	27807
133	10151	27726
134	10224	27643
135	10298	27564
136	10372	27484
137	10444	27397
138	10515	27308
139	10591	27236
140	10666	27157
141	10741	27080
142	10814	26997
143	10887	26916
144	10959	26832
145	11030	26745
146	11107	26672
147	11182	26596
148	11256	26517
149	11329	26435
150	11404	26358
151	11471	26263
152	11544	26182
153	11619	26105
154	11693	26026
155	11763	25941
156	11837	25862
157	11916	25793
158	11987	25708
159	12060	25629
160	12134	25549
161	12208	25471
162	12282	25394
163	12356	25315
164	12430	25236
165	12502	25156
166	12575	25075
167	12646	24992
168	12721	24916
169	12795	24837
170	12868	24757
171	12977	24748
172	13052	24670
173	13128	24596
174	13196	24508
175	13271	24430
176	13335	24336
177	13410	24259
178	13482	24178
179	13555	24097
180	13632	24025
181	13704	23944
182	13778	23867
183	13851	23788
184	13927	23714
185	14001	23636
186	14080	23568
187	14154	23490
188	14229	23415
189	14300	23332
190	14376	23258
191	14448	23177
192	14521	23098
193	14594	23019
194	14664	22936
